TIME_UNIX,CPU_PERCENT,WORK_SET,PRIVATE_B,OPEN_FILES
1637062211,0.0,4661248,12529664,1
1637062212,0.0,4718592,12537856,1
1637062214,0.0,4722688,12537856,1
1637062216,0.0,4722688,12537856,1
1637062217,0.0,4722688,12537856,1
1637062219,0.0,4722688,12537856,1
1637062220,0.0,4722688,12537856,1
1637062222,0.0,4722688,12537856,1
1637062223,0.0,4722688,12537856,1
1637062225,0.0,4722688,12537856,1
1637062226,0.0,4722688,12537856,1
1637062228,0.0,4722688,12537856,1
1637062229,0.0,4722688,12537856,1
1637062231,0.0,4722688,12537856,1
1637062232,0.0,4722688,12537856,1
1637062234,0.0,4722688,12537856,1
1637062236,0.0,4722688,12537856,1
1637062237,0.0,4722688,12537856,1
1637062239,0.0,4722688,12537856,1
1637062240,0.0,4689920,12472320,1
1637062242,0.0,4689920,12472320,1
1637062243,0.0,4689920,12472320,1
1637062245,0.0,4689920,12472320,1
1637062246,0.0,4689920,12472320,1
1637062248,0.0,4689920,12472320,1
1637062249,0.0,4689920,12472320,1
1637062251,0.0,4689920,12472320,1
1637062253,0.0,4689920,12472320,1
1637062254,0.0,4689920,12472320,1
1637062256,0.0,4689920,12472320,1
1637062257,0.0,4689920,12472320,1
1637062259,0.0,4689920,12472320,1
